Analysis,Markup type,Landmark,Definition,Refs,Norm mean,Norm SD
McNamara Analysis,Line,Sella-Nasion line,Reference line connecting Sella to Nasion.,"S,N",,
Downs Analysis,Line,Frankfort Horizontal,Reference plane connecting Porion to Orbitale.,"Po,Or",,
Downs Analysis,Line,Y-axis of growth,Reference line connecting Sella to Gnathion.,"S,Gn",,
Bjork Analysis,Line,Sella-Nasion line,Reference line connecting Sella to Nasion.,"S,N",,
Bjork Analysis,Line,Mandibular plane,Reference plane connecting Gonion to Menton.,"Go,Me",,
Jarv-Bjork,Line,Sella-Nasion line,Reference line connecting Sella to Nasion.,"S,N",,
Jarv-Bjork,Line,Mandibular plane,Reference plane connecting Gonion to Menton.,"Go,Me",,
Tweed Analysis,Line,Frankfort Horizontal,Reference plane connecting Porion to Orbitale.,"Po,Or",,
Tweed Analysis,Line,Mandibular plane,Reference plane connecting Gonion to Menton.,"Go,Me",,
Ricketts PA,Distance,Zygomatic width,Width between the frontozygomatic sutures.,"Z-R,Z-L",95,4
Ricketts PA,Distance,Zygomatic arch width,Width between the zygomatic arches.,"ZA-R,ZA-L",125,5
Ricketts PA,Distance,Jugular width,Maxillary width at jugal points.,"J-R,J-L",65,3
Ricketts PA,Distance,Antegonial width,Mandibular width at antegonial notches.,"AG-R,AG-L",90,4
Ricketts PA,Distance,Nasal cavity width,Width of the nasal cavity.,"NC-R,NC-L",28,2
General PA Analysis,Distance,Antegonial width,Width between antegonial notches.,"ag-R,ag-L",90,4
General PA Analysis,Distance,Condylar width,Width between condylar heads.,"cd/Con-R,cd/Con-L",115,5
General PA Analysis,Distance,Coronoid width,Width between coronoid processes.,"cor-R,cor-L",95,4
General PA Analysis,Distance,Gonial width,Width between gonial angles.,"Go-R,Go-L",95,4
General PA Analysis,Distance,Jugular width,Maxillary width at jugal points.,"Jug-R,Jug-L",65,3
General PA Analysis,Distance,Mastoid width,Width between mastoid processes.,"ma/Mst-R,ma/Mst-L",105,5
General PA Analysis,Distance,Zygomatic arch width,Width between zygomatic arches.,"za-R,za-L",125,5
General PA Analysis,Distance,Orbital width,Width between lateral orbital margins.,"lo-R,lo-L",70,3
Grummons Frontal Asymmetry,Distance,Condylar width,Width between condylar heads.,"Co-R,Co-L",115,5
Grummons Frontal Asymmetry,Distance,Zygomatic width,Width between zygomaticofrontal sutures.,"Z-R,Z-L",95,4
Grummons Frontal Asymmetry,Distance,Jugular width,Maxillary width at jugal points.,"J-R,J-L",65,3
Grummons Frontal Asymmetry,Distance,Antegonial width,Mandibular width at antegonial notches.,"Ag-R,Ag-L",90,4
Hewitt,Distance,Condylar width,Width between condylar heads.,"Cd-R,Cd-L",115,5
Hewitt,Distance,Gonial width,Width between gonial angles.,"Go-R,Go-L",95,4
Svanholt-Solow,Distance,Maxillary width,Width of the maxilla at lateral contours.,"Mx-R,Mx-L",60,3
Svanholt-Solow,Distance,Orbital width,Width between lateral orbital contours.,"Lo-R,Lo-L",70,3
Grayson Multiplane,Distance,Zygomaticofrontal width,Width between zygomaticofrontal sutures.,"Zf-R,Zf-L",95,4
General SMV Analysis,Distance,Condylar width (anterior),Anterior condylar width.,"CdA-L,CdA-R",115,5
General SMV Analysis,Distance,Condylar width (lateral),Lateral condylar width.,"CdL-L,CdL-R",120,5
General SMV Analysis,Distance,Condylar width (medial),Medial condylar width.,"CdM-L,CdM-R",105,5
General SMV Analysis,Distance,Condylar width (posterior),Posterior condylar width.,"CdP-L,CdP-R",110,5
General SMV Analysis,Distance,Gonial width,Width at gonial angles.,"Go-L,Go-R",95,4
General SMV Analysis,Distance,Zygomatic arch width,Width between zygomatic arches.,"ZA-L,ZA-R",125,5
General SMV Analysis,Distance,Mastoid width,Width between mastoid processes.,"Ma-L,Ma-R",105,5
General OPG Analysis,Distance,Condylar width,Width between condylar heads.,"Co-L,Co-R",115,5
General OPG Analysis,Distance,Coronoid width,Width between coronoid processes.,"Cor-L,Cor-R",95,4
General OPG Analysis,Distance,Gonial width,Width between gonial angles.,"Go-L,Go-R",95,4
General OPG Analysis,Distance,Antegonial width,Width between antegonial notches.,"Ag-L,Ag-R",90,4
Harvold,Distance,Mandibular length,Distance from TMJ to Prognathion.,"TMJ,PGN",120,5
Harvold,Distance,Lower face height,Height from ANS to Gnathion.,"ANS,GN",65,4
Harvold,Angle,Angle of convexity,Angle between PG-ANS and ANS-N.,"PG,ANS,N",0,5
Legan and Burstone Soft Tissue,Angle,Facial convexity,Angle between Glabella-Subnasale-Soft tissue pogonion.,"G,Sn,Pg'",12,4
Legan and Burstone Soft Tissue,Angle,Nasolabial angle,Angle between columella and upper lip.,"Cm,Sn,Ls",100,8
Legan and Burstone Soft Tissue,Distance,Lower face height,Sn-Me' distance.,"Sn,Me'",50,4
Legan and Burstone Soft Tissue,Angle 4-pt,Vertical facial ratio,Sn-Stms to Stmi-Me'.,"Sn,Stms,Stmi,Me'",0.5,0.05
Kim Analysis,Angle 4-pt,ODI,Angle between AB plane and Frankfort Horizontal (Po-Or),"A,B,Po,Or",75,6
Kim Analysis,Angle 4-pt,APDI,Angle between facial plane (N-Pog) and AB plane,"N,Pog,A,B",81,5
Kim Analysis,Sum,CF,"Combination Factor = ODI + APDI","ODI,APDI",156,10
Eastman Analysis,Angle,BaN-A,"Angle between Basion, Nasion, and Point A","Ba,N,A",60,3
Eastman Analysis,Angle,BaN-B,"Angle between Basion, Nasion, and Point B","Ba,N,B",55,3
Eastman Analysis,Angle,BaN-Pog,"Angle between Basion, Nasion, and Pogonion","Ba,N,Pog",58,3
Delaire Analysis,Angle,Craniofacial angle,Angle between Basion-Nasion-Pogonion.,"Ba,N,Pog",170,5
Delaire Analysis,Angle 4-pt,Facial angle,Angle between FH (Po-Or) and facial plane (N-Pog).,"Po,Or,N,Pog",87,3
Delaire Analysis,Angle 4-pt,Maxillary position,Angle between FH (Po-Or) and NA line (N-A).,"Po,Or,N,A",90,3
Coben Craniofacial and Dentition,Line,S-N line,Anterior cranial base length.,"S,N",,
Coben Craniofacial and Dentition,Line,N-ANS,Upper facial height.,"N,Ans",,
Coben Craniofacial and Dentition,Line,ANS-M,Lower facial height.,"Ans,M",,
Coben Craniofacial and Dentition,Line,N-M,Total facial height.,"N,M",,
Coben Craniofacial and Dentition,Line,S-Ar,Posterior cranial base length.,"S,Ar",,
Coben Craniofacial and Dentition,Line,Ar-Go,Ramus height.,"Ar,Go",,
Coben Craniofacial and Dentition,Line,Go-Pog,Mandibular body length.,"Go,Pog",,
Coben Craniofacial and Dentition,Line,N-A,Maxillary depth.,"N,A",,
Coben Craniofacial and Dentition,Line,N-B,Mandibular depth.,"N,B",,
Coben Craniofacial and Dentition,Angle 4-pt,Facial angle (Po-Or-N-Pog),Angle between Frankfort horizontal and facial plane.,"Po,Or,N,Pog",,
Coben Craniofacial and Dentition,Angle 4-pt,SN-FH,Angle between sella-nasion and Frankfort horizontal.,"S,N,Po,Or",,
Coben Craniofacial and Dentition,Angle 4-pt,SN-MP,Angle between sella-nasion and mandibular plane.,"S,N,Go,M",,
Di Paolo's Quadrilateral,Line,N-ANS,Upper facial height.,"N,ANS",,
Di Paolo's Quadrilateral,Line,ANS-PG,Maxillary depth to pogonion.,"ANS,PG",,
Di Paolo's Quadrilateral,Line,N-PG,Facial plane distance.,"N,PG",,
Di Paolo's Quadrilateral,Line,Ar-Go,Ramus height.,"Ar,Go",,
Di Paolo's Quadrilateral,Line,Go-PG,Mandibular body length.,"Go,PG",,
Di Paolo's Quadrilateral,Line,ANS-Ptm,Maxillary depth.,"ANS,Ptm",,
Di Paolo's Quadrilateral,Line,Ptm-snp,Palatal length.,"Ptm,snp",,
Di Paolo's Quadrilateral,Line,N-Go,Total facial height.,"N,Go",,
Di Paolo's Quadrilateral,Angle,ANB,Angle between A-N-B.,"A,N,Point B",,
Di Paolo's Quadrilateral,Angle,Facial convexity,Angle between N-PG-ANS.,"N,PG,ANS",,
Farkas and Coworkers Soft Tissue,Angle,Nasofrontal angle,Angle between glabella-subnasion-pronasale.,"g,n',prn",,
Farkas and Coworkers Soft Tissue,Angle,Nasolabial angle,Angle between pronasale-subnasale-labrale superius.,"prn,sn,ls",,
Farkas and Coworkers Soft Tissue,Angle,Facial convexity,Angle between glabella-subnasale-pogonion.,"g,sn,pg",,
Farkas and Coworkers Soft Tissue,Distance,Nasal bridge length,Distance from subnasion to pronasale.,"n',prn",,
Farkas and Coworkers Soft Tissue,Distance,Nasal protrusion,Distance from pronasale to subnasale.,"prn,sn",,
Farkas and Coworkers Soft Tissue,Distance,Upper lip height,Distance from subnasale to labrale superius.,"sn,ls",,
Farkas and Coworkers Soft Tissue,Distance,Lower lip height,Distance from labrale inferius to sublabiale.,"li,si",,
Farkas and Coworkers Soft Tissue,Distance,Lower facial height,Distance from subnasale to pogonion.,"sn,pg",,
Farkas and Coworkers Soft Tissue,Distance,Facial height,Distance from glabella to subnasale.,"g,sn",,
Farkas and Coworkers Soft Tissue,Distance,Upper facial height,Distance from trichion to glabella.,"tr,g",,
Hasund (Bergen),Angle,SNA,Sella-nasion-point A angle.,"S,N,A",,
Hasund (Bergen),Angle,SNB,Sella-nasion-point B angle.,"S,N,B",,
Hasund (Bergen),Angle,ANB,Point A-nasion-point B angle.,"A,N,B",,
Hasund (Bergen),Line,NSL,Nasion-sella line.,"N,S",,
Hasund (Bergen),Line,N-ANS,Upper facial height.,"N,Ans",,
Riedel,Angle,SNA,Sella-nasion-point A angle.,"S,N,A",,
Riedel,Angle,SNB,Sella-nasion-point B angle.,"S,N,B",,
Riedel,Angle,ANB,Point A-nasion-point B angle.,"A,N,B",,
Riedel,Angle 4-pt,Facial angle,Angle between Frankfort horizontal and facial plane.,"Po,Or,N,Pogonion",,
Riedel,Angle,Convexity,Angle between A-N-Pogonion.,"A,N,Pogonion",,
Riedel,Angle 4-pt,SN-FH,Angle between sella-nasion and Frankfort horizontal.,"S,N,Po,Or",,
Riedel,Angle 4-pt,SN-MP,Angle between sella-nasion and mandibular plane.,"S,N,Go,GN",,
Riedel,Line,NSL,Nasion-sella line.,"S,N",,
Riedel,Line,FH,Frankfort horizontal line.,"Po,Or",,
Riedel,Line,Facial plane,Nasion-pogonion line.,"N,Pogonion",,
Riedel,Line,Mandibular plane,Go-gnathion line.,"Go,GN",,
Schwartz,Angle,SNA,Sella-nasion-point A angle.,"S,N,A",,
Schwartz,Angle,SNB,Sella-nasion-point B angle.,"S,N,B",,
Schwartz,Angle,ANB,Point A-nasion-point B angle.,"A,N,B",,
Schwartz,Line,NSL,Nasion-sella line.,"N,S",,
Schwartz,Line,Facial plane,Nasion-pogonion line.,"N,Pogonion",,
Wylie,Line,S-N,Cranial base length.,"S,N",,
Wylie,Line,N-ANS,Upper facial height.,"N,ANS",,
Wylie,Line,ANS-GN,Lower facial height.,"ANS,GN",,
Wylie,Line,A-Ptm,Maxillary depth.,"A,Ptm",,
Wylie,Line,S-PNS,Posterior cranial base depth.,"S,PNS",,
Wylie,Line,N-PG,Facial plane.,"N,PG",,
Wylie,Angle,SNA,Sella-nasion-point A angle.,"S,N,A",,
Wylie,Angle,SNB,Sella-nasion-point B angle.,"S,N,Point B",,
Wylie,Angle,ANB,Point A-nasion-point B angle.,"A,N,Point B",,
Wylie,Angle 4-pt,Facial angle,Angle between FH and facial plane.,"Po,Orbitale,N,PG",,
Harvold,Line,Nasion-Pogonion,Facial plane distance.,"N,PG",,
Harvold,Line,Nasion-ANS,Upper facial height.,"N,ANS",,
Legan and Burstone Soft Tissue,Distance,Upper face height,Distance from Glabella to Subnasale.,"G,Sn",,
Legan and Burstone Soft Tissue,Distance,Upper lip height,Distance from Subnasale to Stomion superius.,"Sn,Stms",,
Legan and Burstone Soft Tissue,Distance,Lower lip height,Distance from Stomion inferius to Soft tissue menton.,"Stmi,Me'",,
Legan and Burstone Soft Tissue,Distance,Interlabial gap,Distance between upper and lower lip.,"Stms,Stmi",,
Holdaway Analysis,Angle,H-angle,Angle between soft tissue facial plane and H line.,"N',Pog',UL",10,4
Holdaway Analysis,Line,Soft tissue facial plane,Reference plane connecting N' to Pog'.,"N',Pog'",,
Holdaway Analysis,Line,H line,Harmony line tangent to chin and upper lip.,"UL,Pog'",,
Sassouni Analysis,Angle 4-pt,Palatocranial angle,Angle between palatal plane and cranial base plane.,"ANS,PNS,N,S",,
Sassouni Analysis,Angle 4-pt,Palatomandibular angle,Angle between palatal plane and mandibular plane.,"ANS,PNS,Go,Me",,
Sassouni Analysis,Angle 4-pt,Occlusopalatal angle,Angle between occlusal plane and palatal plane.,"APOcc,PPOcc,ANS,PNS",,
Sassouni Analysis,Angle 4-pt,Occlusomandibular angle,Angle between occlusal plane and mandibular plane.,"APOcc,PPOcc,Go,Me",,
Sassouni Analysis,Angle 4-pt,Angle M,Angle between maxillary molar axis and occlusal plane.,"U6a,U6,APOcc,PPOcc",,
Sassouni Analysis,Angle 4-pt,Angle M',Angle between maxillary molar axis and palatal plane.,"U6a,U6,ANS,PNS",,
Sassouni Analysis,Angle 4-pt,Angle M'',Angle between maxillary molar axis and cranial base plane.,"U6a,U6,N,S",,
Sassouni Analysis,Angle 4-pt,Angle I,Angle between maxillary incisor axis and occlusal plane.,"Ia,Is,APOcc,PPOcc",,
Sassouni Analysis,Angle 4-pt,Angle I',Angle between maxillary incisor axis and palatal plane.,"Ia,Is,ANS,PNS",,
Sassouni Analysis,Angle 4-pt,Angle I'',Angle between maxillary incisor axis and cranial base plane.,"Ia,Is,N,S",,
Sassouni Analysis,Angle 4-pt,Angle R,Angle between ramal plane and occlusal plane.,"Ar,Go,APOcc,PPOcc",,
Sassouni Analysis,Angle 4-pt,Angle i,Angle between mandibular incisor axis and occlusal plane.,"Iia,Ii,APOcc,PPOcc",,
Sassouni Analysis,Angle 4-pt,Angle rfl',Angle between mandibular molar axis and occlusal plane.,"L6a,L6,APOcc,PPOcc",,
Sassouni Analysis,Line,Cranial base plane,Reference plane from Nasion to Sella.,"N,S",,
Sassouni Analysis,Line,Palatal plane,Reference plane from ANS to PNS.,"ANS,PNS",,
Sassouni Analysis,Line,Mandibular plane,Reference plane from Gonion to Menton.,"Go,Me",,
Sassouni Analysis,Line,Occlusal plane,Reference occlusal plane.,"APOcc,PPOcc",,
Arnett Analysis,Angle,Facial convexity,Angle between glabella-subnasale-pogonion.,"G',Sn,Pog'",12,4
Arnett Analysis,Angle,Nasolabial angle,Angle between columella-subnasale-labrale superius.,"Cm,Sn,Ls",100,8
Arnett Analysis,Distance,Lower face height,Subnasale to menton distance.,"Sn,Me'",50,4
Arnett Analysis,Distance,Maxillary incisor exposure,Incisor edge to upper lip margin.,"UIc,Stms",3,2
Arnett Analysis,Distance,Upper lip height,Subnasale to stomion superius.,"Sn,Stms",,
Arnett Analysis,Distance,Lower lip height,Stomion inferius to menton.,"Stmi,Me'",,
Arnett Analysis,Distance,Interlabial gap,Stomion superius to stomion inferius.,"Stms,Stmi",0,2
Arnett Analysis,Distance,Upper lip vertical,Labrale superius to stomion superius.,"Ls,Stms",,
Arnett Analysis,Angle,Lip-chin-throat angle,Angle between labrale inferius-pogonion-cervical point.,"Li,Pog',C",110,10
Arnett Analysis,Line,Facial plane,Soft tissue facial plane.,"N',Pog'",,
Arnett Analysis,Line,Lower facial profile,Subnasale to pogonion line.,"Sn,Pog'",,
Arnett Analysis,Distance,Nasal protrusion,Columella to subnasale distance.,"Cm,Sn",18,3
ABO DI Analysis,Angle,ANB,Angle between A-N-B.,"A,N,B",2,2
ABO DI Analysis,Angle 4-pt,SN-GoMe,Mandibular plane angle.,"S,N,Go,Me",32,4
ABO DI Analysis,Angle 4-pt,IMPA,Incisor mandibular plane angle.,"Iia,Ii,Go,Me",90,5
ABO DI Analysis,Line,Sella-Nasion line,Reference line.,"S,N",,
ABO DI Analysis,Line,Mandibular plane,Reference plane.,"Go,Me",,
CVM Analysis,Line,C2 lower border,Lower border length of second cervical vertebra.,"C2a,C2p",,
CVM Analysis,Line,C3 lower border,Lower border length of third cervical vertebra.,"C3ai,C3pi",,
CVM Analysis,Line,C4 lower border,Lower border length of fourth cervical vertebra.,"C4ai,C4pi",,
CVM Analysis,Line,C3 anterior height,Anterior body height of third cervical vertebra.,"C3as,C3ai",,
CVM Analysis,Line,C3 posterior height,Posterior body height of third cervical vertebra.,"C3ps,C3pi",,
CVM Analysis,Line,C3 AP width,Anteroposterior width of third cervical vertebra.,"C3as,C3ps",,
CVM Analysis,Line,C4 anterior height,Anterior body height of fourth cervical vertebra.,"C4as,C4ai",,
CVM Analysis,Line,C4 posterior height,Posterior body height of fourth cervical vertebra.,"C4ps,C4pi",,
CVM Analysis,Line,C4 AP width,Anteroposterior width of fourth cervical vertebra.,"C4as,C4ps",,
CVM Analysis,Ratio,C3 shape index,C3 width/height ratio (rectangular>1, square~1, tall<1).,"C3 AP width,C3 anterior height",1,0.2
CVM Analysis,Ratio,C4 shape index,C4 width/height ratio (rectangular>1, square~1, tall<1).,"C4 AP width,C4 anterior height",1,0.2
Van Arsdale,Line,Cg-ANS,Mid-sagittal reference line from Crista galli to ANS.,"Cg,ANS",,
Van Arsdale,Distance,Lo-Lo width,Interorbital width between right and left latero-orbitale.,"Lo-R,Lo-L",70,3
Van Arsdale,Distance,Z-Z width,Bizygomatic width between right and left zygomaticofrontal sutures.,"Z-R,Z-L",95,4
Van Arsdale,Distance,J-J width,Bimaxillary width between right and left jugale points.,"J-R,J-L",65,3
Van Arsdale,Distance,Co-Co width,Bicondylar width between right and left condylion points.,"Co-R,Co-L",115,5
Van Arsdale,Distance,Ag-Ag width,Bigonial width between right and left antegonion points.,"Ag-R,Ag-L",90,4
Grummons Simplified AP,Line,Cg-ANS,Mid-sagittal reference line from Crista galli to ANS.,"Cg,ANS",,
Grummons Simplified AP,Distance,Z-Z width,Bizygomatic width between right and left zygomaticofrontal sutures.,"Z-R,Z-L",95,4
Grummons Simplified AP,Distance,J-J width,Bimaxillary width between right and left jugale points.,"J-R,J-L",65,3
Grummons Simplified AP,Distance,Co-Co width,Bicondylar width between right and left condylion points.,"Co-R,Co-L",115,5
Grummons Simplified AP,Distance,Ag-Ag width,Bigonial width between right and left antegonion points.,"Ag-R,Ag-L",90,4
Hand-Wrist Analysis,Line,MP3 epiphyseal width,Transverse width of the MP3 epiphysis (widest point).,"MP3-E-L,MP3-E-R",,
Hand-Wrist Analysis,Line,MP3 diaphyseal width,Transverse width of the MP3 diaphysis at its distal end.,"MP3-D-L,MP3-D-R",,
Hand-Wrist Analysis,Ratio,MP3 width ratio,Ratio of MP3 epiphyseal width to diaphyseal width (≥1 indicates capping).,"MP3 epiphyseal width,MP3 diaphyseal width",1,0.15
Hand-Wrist Analysis,Line,MP3 gap,Fusion gap distance between MP3 diaphysis and epiphysis.,"MP3-Gap-D,MP3-Gap-P",,
