Analysis,Markup type,Landmark,Definition,Refs,Norm mean,Norm SD
Farkas and Coworkers Soft Tissue,Point,Subnasale (sn),Midpoint of the columella base at the apex of the nasolabial angle.,,,
Farkas and Coworkers Soft Tissue,Point,Labiale superius (ls),Midpoint of the upper vermilion line.,,,
Farkas and Coworkers Soft Tissue,Point,Labiale inferius (li),Midpoint of the lower vermilion line.,,,
Farkas and Coworkers Soft Tissue,Point,Sublabiale (si),Midpoint of the horizontal labiomental skin ridge.,,,
Farkas and Coworkers Soft Tissue,Point,Pogonion (pg),The most anterior midpoint of the chin.,,,
Harvold,Point,Temporomandibular joint (TMJ),"A point on the contour of the glenoid fossa, where the line indicating the maximum length of the mandible intercepts the contour of the temporomandibular fossa. The midpoint between the right and left side is marked.",,,
Harvold,Point,Anterior nasal spine (ANS),"A point on the lower contour of the anterior nasal spine where the vertical thickness is 3 mm, used for horizontal measurements; a point on the upper contour of the anterior nasal spine, where the vertical thickness is 3 mm, employed for vertical measurements.",,,
Harvold,Point,Prognathion (PGN),A point on the contour of the chin indicating maximum mandibular length measured from the temporomandibular joint.,,,
Harvold,Point,Gnathion (GN),The most inferior point on the contour of the chin.,,,
Harvold,Point,Pogonion (PG),The most anterior point on the chin.,,,
Harvold,Point,Nasion (N),"The point at which the nasofrontal suture reaches the contour line of the bones. The forward position of the maxilla, measured from TM to ANS.",,,
Harvold,Distance,Mandibular length,Measured from TM to PGN.,,,
Harvold,Distance,Lower face height,Measured from ANS to GN.,,,
Harvold,Angle,The angle of convexity,The angle between the lines PG-ANS and ANS-N.,,,
Holdaway Analysis,Point,N' - Soft tissue nasion,The most concave point on the soft tissue contour of the forehead at the nasofrontal sulcus.,,,
Holdaway Analysis,Point,Pn - Pronasale,The most anterior point of the nose tip.,,,
Holdaway Analysis,Point,UL - Upper lip most anterior,The most anterior point on the vermilion border of the upper lip.,,,
Holdaway Analysis,Point,LL - Lower lip most anterior,The most anterior point on the vermilion border of the lower lip.,,,
Holdaway Analysis,Point,Si - Labiomental sulcus,The deepest point of the labiomental fold between the lower lip and chin.,,,
Holdaway Analysis,Point,Pog' - Soft tissue pogonion,The most anterior point of the soft tissue chin.,,,
Legan and Burstone Soft Tissue,Point,Glabella (G),The most prominent point in the midsagittal plane of the forehead.,,,
Legan and Burstone Soft Tissue,Point,Columella point (Cm),The most anterior point on the columella of the nose.,,,
Legan and Burstone Soft Tissue,Point,Subnasale (Sn),The point at which the nasal septum merges with the upper cutaneous lip in the midsagittal plane.,,,
Legan and Burstone Soft Tissue,Point,Labrale superius (Ls),A point indicating the mucocutaneous border of the upper lip.,,,
Legan and Burstone Soft Tissue,Point,Stomion superius (Stms),The lowermost point on the vermilion of the upper lip.,,,
Legan and Burstone Soft Tissue,Point,Stomion inferius (Stmi),The uppermost point on the vermilion of the lower lip.,,,
Legan and Burstone Soft Tissue,Point,Labrale inferius (Li),A point indicating the mucocutaneous border of the lower lip.,,,
Legan and Burstone Soft Tissue,Point,Mentolabial sulcus (Si),The point of greatest concavity in the midline between the lower lip (Li) and chin (Pg').,,,
Legan and Burstone Soft Tissue,Point,Soft tissue pogonion (Pg'),The most anterior point on soft tissue chin.,,,
Legan and Burstone Soft Tissue,Point,Soft tissue gnathion (Gn'),The constructed midpoint between soft tissue pogonion and soft tissue menton; can be located at the intersection of the subnasale to soft tissue pogonion line and the line from C to Me.,,,
Legan and Burstone Soft Tissue,Point,Soft tissue menton (Me'),The lowest point on the contour of the soft tissue chin; found by dropping a perpendicular from horizontal plane through menton.,,,
Legan and Burstone Soft Tissue,Point,Cervical point (C),The innermost point between the submental area and the neck located at the intersection of lines drawn tangent to the neck and submental areas.,,,
Ricketts Analysis,Point,A,The deepest point on the curve of the maxilla between the anterior nasal spine and the dental alveolus.,,,
Ricketts Analysis,Point,ANS,Tip of the anterior nasal spine.,,,
Ricketts Analysis,Point,BA,Most inferior posterior point of the occipital bone.,,,
Ricketts Analysis,Point,CC,Point where the basion-nasion plane and the facial axis intersect.,,,
Ricketts Analysis,Point,DC,"A point selected in the center of the neck of the condyle, where the basion-nasion plane crosses it.",,,
Ricketts Analysis,Point,NA,A point at the anterior limit of the nasofrontal suture.,,,
Ricketts Analysis,Point,PM,Point selected at the anterior border of the symphysis between point B and pogonion where the curvature changes from concave to convex.,,,
Ricketts Analysis,Point,PO,Most anterior point on the midsagittal symphysis tangent to the facial plane.,,,
Ricketts Analysis,Point,XI,The geometric center of the ramus of the mandible.,,,
Sassouni Analysis,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.,,,
Sassouni Analysis,Point,S - Sella,The geometric center of the pituitary fossa (sella turcica).,,,
Sassouni Analysis,Point,ANS - Anterior nasal spine,The tip of the anterior nasal spine.,,,
Sassouni Analysis,Point,PNS - Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Sassouni Analysis,Point,Me - Menton,The most inferior midline point on the mandibular symphysis.,,,
Sassouni Analysis,Point,Go - Gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Sassouni Analysis,Point,Ar - Articulare,The point of intersection of the dorsal contours of the condylar process and the temporal bone.,,,
Sassouni Analysis,Point,APOcc - Anterior point of occlusion,The midpoint of the incisor overbite in occlusion.,,,
Sassouni Analysis,Point,PPOcc - Posterior point of occlusion,The most distal point of contact between the most posterior molars in occlusion.,,,
Sassouni Analysis,Point,Is - Incision superius,The incisal edge of the maxillary central incisor.,,,
Sassouni Analysis,Point,Ia - Incision superius apicalis,The root apex of the maxillary central incisor.,,,
Sassouni Analysis,Point,Ii - Incision inferius,The incisal edge of the mandibular central incisor.,,,
Sassouni Analysis,Point,Iia - Incision inferius apicalis,The root apex of the mandibular central incisor.,,,
Sassouni Analysis,Point,U6 - Maxillary first molar (mesial cusp),The tip of the mesiobuccal cusp of the maxillary first permanent molar.,,,
Sassouni Analysis,Point,U6a - Maxillary first molar (apex),The root apex of the maxillary first permanent molar.,,,
Sassouni Analysis,Point,L6 - Mandibular first molar (mesial cusp),The tip of the mesiobuccal cusp of the mandibular first permanent molar.,,,
Sassouni Analysis,Point,L6a - Mandibular first molar (apex),The root apex of the mandibular first permanent molar.,,,
Di Paolo's Quadrilateral,Point,A,The deepest point on the curve of the maxilla between the anterior nasal spine and the dental alveolus.,,,
Di Paolo's Quadrilateral,Point,ANS,Tip of the anterior nasal spine.,,,
Di Paolo's Quadrilateral,Point,Nasion (N),The point at which the nasofrontal suture reaches the contour line of the bones.,,,
Di Paolo's Quadrilateral,Point,Pogonion (PG),The most anterior point on the chin.,,,
Di Paolo's Quadrilateral,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Di Paolo's Quadrilateral,Point,Ptm-pterygomaxillary fissure,The point of intersection of the images of the anterior surface of the pterygoid process of the sphenoid bone and the posterior margin of the maxilla.,,,
Di Paolo's Quadrilateral,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Di Paolo's Quadrilateral,Point,Ar-articulare,The point of intersection of the dorsal contours of processus articularis mandibulae and os temporale. The midpoint is used where double projection gives rise to two articulare points.,,,
Di Paolo's Quadrilateral,Point,snp-spina nasalis posterior,"The point of intersection of palatum posterior durum, palatum molle and fossa pterygopalatina.",,,
Hasund (Bergen),Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.,,,
Hasund (Bergen),Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.,,,
Hasund (Bergen),Point,Ar-articulate,The point of intersection of the images of the posterior border of the condylar process of the mandible and the inferior border of the basilar part of the occipital bone.,,,
Hasund (Bergen),Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.,,,
Hasund (Bergen),Point,Ba-basion,The median point of the anterior margin of the foramen magnum located by following the image of the slope of the inferior border of the basilar part of the occipital bone to its posterior limit.,,,
Hasund (Bergen),Point,N-nasion,The most anterior (midline) point of the frontonasal suture.,,,
Hasund (Bergen),Point,S-sella,The point representing the geometric centrer of the pituitary fossa (sella turcica).,,,
Hasund (Bergen),Point,Pogonion,The most anterior point on the mandible in the midline.,,,
Hasund (Bergen),Point,Gnathion,A point on the chin determined by bisecting the angle formed by the facial and mandibular planes.,,,
Hasund (Bergen),Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.,,,
Hasund (Bergen),Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.,,,
Jarv-Bjork,Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.,,,
Jarv-Bjork,Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.,,,
Jarv-Bjork,Point,Ar-articulare,The point of intersection of the images of the posterior border of the condylar process of the mandible and the inferior border of the basilar part of the occipital bone.,,,
Jarv-Bjork,Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.,,,
Jarv-Bjork,Point,Ba-basion,The median point of the anterior margin of the foramen magnum located by following the image of the slope of the inferior border of the basilar part of the occipital bone to its posterior limit.,,,
Jarv-Bjork,Point,N-nasion,The most anterior (midline) point of the frontonasal suture.,,,
Jarv-Bjork,Point,S-sella,The point representing the geometric centrer of the pituitary fossa (sella turcica).,,,
Jarv-Bjork,Point,Pogonion,The most anterior point on the mandible in the midline.,,,
Jarv-Bjork,Point,Gnathion,A point on the chin determined by bisecting the angle formed by the facial and mandibular planes.,,,
Jarv-Bjork,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.,,,
Jarv-Bjork,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.,,,
Jarv-Bjork,Point,snp-spina nasalis posterior,"The point of intersection of palatum posterior durum, palatum molle and fossa pterygo-palatina.",,,
Jarv-Bjork,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal).",,,
Riedel,Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.,,,
Riedel,Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.,,,
Riedel,Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.,,,
Riedel,Point,N-nasion,The most anterior (midline) point of the frontonasal suture.,,,
Riedel,Point,S-sella,The point representing the geometric center of the pituitary fossa (sella turcica).,,,
Riedel,Point,Pogonion,The most anterior point on the mandible in the midline.,,,
Riedel,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.,,,
Riedel,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.,,,
Riedel,Point,snp-spina nasalis posterior,"The point of intersection of palatum posterior durum, palatum molle and fossa pterygopalatina.",,,
Riedel,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal).",,,
Riedel,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images.",,,
Riedel,Point,Ul-maxillary central incisor (horizontal),The most labial point on the crown of the maxillary central incisor.,,,
Riedel,Point,Ul-maxillary central incisor (vertical),The incisal edge of the maxillary central incisor.,,,
Riedel,Point,L1-mandibular central incisor (horizontal),The most labial point on the crown of the mandibular central incisor.,,,
Riedel,Point,L1-mandibular central incisor (vertical),The incisal edge of the mandibular central incisor.,,,
Riedel,Point,Gnathion (GN),The most inferior point on the contour of the chin.,,,
Riedel,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Riedel,Point,Iip-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Riedel,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion",,,
Riedel,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).,,,
Riedel,Point,Maxillary central incisor,The most labial point on the crown of the maxillary central incisor.,,,
Riedel,Point,Mandibular central incisor,The most labial point on the crown of the mandibular central incisor.,,,
Schwartz,Point,A-point A (subspinale),The point at the deepest midline concavity on the maxilla between the anterior nasal spine and prosthion.,,,
Schwartz,Point,Ans-anterior nasal spine,The most anterior point of the anterior nasal spine.,,,
Schwartz,Point,B-point B (supramentale),The point at the deepest midline concavity on the mandibular symphysis between infradentale and pogonion.,,,
Schwartz,Point,N-nasion,The most anterior (midline) point of the frontonasal suture.,,,
Schwartz,Point,S-sella,The point representing the geometric center of the pituitary fossa (sella turcica).,,,
Schwartz,Point,Pogonion,The most anterior point on the mandible in the midline.,,,
Schwartz,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor,,,
Schwartz,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.,,,
Wylie,Point,sp-Dorsum of sella,The most posterior point on the internal contour of the sella turcica or hypophyseal fossa or pituitary fossa.,,,
Wylie,Point,si-Floor of sella,The lower most point on the inner contour of the sella turcica or hypophyseal fossa or pituitary fossa.,,,
Wylie,Point,Cl-Clinoidale,The most superior point on the contour of the anterior clinoid.,,,
Wylie,Point,S-Sella,The midpoint of sella turcica or hypophyseal fossa or pituitary fossa.,,,
Wylie,Point,ANS-Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.,,,
Wylie,Point,A-Point A,The deepest point on the curved bony outline between the anterior nasal spine (ANS) and prosthion (Pr).,,,
Wylie,Point,PNS-Posterior nasal spine,The intersection of continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Wylie,Point,Ptm-Pterygomaxillary fissure,"A bilateral tear drop shaped area of radiolucency, the anterior shadow of which represents the posterior surface of the tuberosity of the maxilla; the landmark is taken where the two edges, front and back appears to merge inferiorly.",,,
Wylie,Point,Orbitale,"The deepest point on the infraorbital margin.The midpoint, or is used where double projection gives rise to two points, or 1 and/or 2.",,,
Wylie,Point,Gnathion (GN),The most inferior point on the contour of the chin.,,,
Wylie,Point,Pogonion (PG),The most anterior point on the chin.,,,
Wylie,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Wylie,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal).",,,
Steiner Analysis,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Steiner Analysis,Point,The center of sella turcica,Located by inspection of the profile image of the fossa.,,,
Steiner Analysis,Point,Orbitale,The lowest point on the left infraorbital margin.,,,
Steiner Analysis,Point,Porion (cephalometric),The highest point on the superior surface of the soft tissue of the external auditory meati.,,,
Steiner Analysis,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Steiner Analysis,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Steiner Analysis,Point,ANS,Anterior nasal spine is the tip of bony anterior nasal spine in the midline or median plane.,,,
Steiner Analysis,Point,PNS,Posterior nasal spine is the intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Steiner Analysis,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.,,,
Steiner Analysis,Point,is - incision superius,The incisal point of the most prominent medial maxillary incisor.,,,
Steiner Analysis,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Steiner Analysis,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion",,,
Steiner Analysis,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).,,,
Steiner Analysis,Point,isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Steiner Analysis,Point,iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Steiner Analysis,Point,Pogonion (PG),The most anterior point on the chin.,,,
Steiner Analysis,Point,Pn,"The most anterior point on the midsagittal profile of the nose. In cases where the tip of the nose was more than a definite point, pronasale was determined by drawing a line parallel to the line nasion to pogonion tangent to the most anterior point on the midsagittal profile of the nose.",,,
Tweed Analysis,Point,Orbitale,The lowest point on the left infraorbital margin.,,,
Tweed Analysis,Point,Porion (cephalometric),The highest point on the superior surface of the soft tissue of the external auditory meati.,,,
Tweed Analysis,Point,ii-incision inferius,The incisal point of the most prominent medial mandibular incisor.,,,
Tweed Analysis,Point,is-incision superius,The incisal point of the most prominent medial maxillary incisor.,,,
Tweed Analysis,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Tweed Analysis,Point,isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Tweed Analysis,Point,iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Wits Analysis,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Wits Analysis,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Basis,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Basis,Point,s-the center of sella turcica,The midpoint of the horizontal diameter.,,,
Basis,Point,ANS-Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.,,,
Basis,Point,PNS- Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Basis,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Basis,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Basis,Point,Gn-gnathion,The deepest point on the chin.,,,
Basis,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.,,,
Basis,Point,Pog-pogonion,The most prominent point on the chin.,,,
Basis,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion.",,,
Basis,Point,Isi-Incision superius incisalis,The incisal edge of the maxillary central incisor.,,,
Basis,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Basis,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.,,,
Basis,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Cagliari,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Cagliari,Point,s-The center of sella turcica,The midpoint of the horizontal diameter.,,,
Cagliari,Point,ANS-Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.,,,
Cagliari,Point,PNS-Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Cagliari,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Cagliari,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Cagliari,Point,Gn-gnathion,The deepest point on the chin.,,,
Cagliari,Point,id - infradentale,The point of transition from the crown of the most prominent mandibular medial incisor to the alveolar projection.,,,
Cagliari,Point,Pog-pogonion,The most prominent point on the chin.,,,
Cagliari,Point,sm-supramentale,"The deepest point on the contour of the alveolar projection, between infradentale and pogonion.",,,
Cagliari,Point,Isi-Incision superius incisalis,The incisal edge of the maxillary central incisor.,,,
Cagliari,Point,Isa-Incision superius apicalis,"The root apex of the most anterior maxillary central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Cagliari,Point,Iii-Incision inferius incisalis,The incisal edge of the most prominent mandibular central incisor.,,,
Cagliari,Point,Iia-Incision inferius apicalis,"The root apex of the most anterior mandibular central incisor; if this point is needed only for defining the long axis of the tooth, the midpoint on the bisection of the apical root width can be used.",,,
Cagliari,Point,Go-gonion (constructed),The point of intersection of the ramus plane and the mandibular plane.,,,
Cagliari,Point,APOcc-Anterior point of occlusion for the occlusal plane,"A constructed point, the midpoint of the incisor overbite in occlusion.",,,
Cagliari,Point,PPOcc-Posterior point of occlusion for the occlusal plane,The most distal point of contact between the most posterior molars in occlusion (Rakosi).,,,
Cagliari,Point,Pogonion (PG),The most anterior point on the chin.,,,
Cagliari,Point,Po-porion (anatomic),"The superior point of the externalauditory meatus (superior margin of temporomandibular fossa, which lies at the same level, may be substituted in the construction of Frankfort horizontal).",,,
Cagliari,Point,Or-orbitale,"The lowest point on the inferior margin of the orbit, midpoint between right and left images.",,,
Cagliari,Point,Articulare,"Articulare is the point of intersection the dorsal contours of the processus articularis mandibulare and os temporale. The midpoint, a is used where double projection gives rise to two points, a1 and a2.",,,
Chieti,Point,N-nasion,Nasion is the most anterior point of the frontonasal suture in the middle.,,,
Chieti,Point,s- the center of sella turcica,The midpoint of the horizontal diameter.,,,
Chieti,Point,ANS- Anterior nasal spine,The tip of bony anterior nasal spine in the midline or median plane.,,,
Chieti,Point,PNS- Posterior nasal spine,The intersection of a continuation of the anterior wall of the pterygopalatine fossa and the floor of the nose.,,,
Chieti,Point,A-subspinale,The deepest midline point on the premaxilla between the anterior nasal spine and prosthion.,,,
Chieti,Point,B-supramentale,The deepest midline point on the mandible between infradentale and pogonion.,,,
Chieti,Point,Gn-gnathion,The deepest point on the chin.,,,
