Analysis,View,Markup type,Landmark,Definition
Ricketts PA,PA,Point,ZA-R - Zygomatic arch (Right),The most external (lateral) border of the zygomatic arch on the right side.
Ricketts PA,PA,Point,ZA-L - Zygomatic arch (Left),The most external (lateral) border of the zygomatic arch on the left side.
Ricketts PA,PA,Point,J-R - Jugale (Right),The deepest point of the lateral contour of the maxillary alveolar process on the right side.
Ricketts PA,PA,Point,J-L - Jugale (Left),The deepest point of the lateral contour of the maxillary alveolar process on the left side.
Ricketts PA,PA,Point,AG-R - Antegonion (Right),The deepest point of the antegonial notch on the lower border of the right mandible.
Ricketts PA,PA,Point,AG-L - Antegonion (Left),The deepest point of the antegonial notch on the lower border of the left mandible.
Ricketts PA,PA,Point,NC-R - Nasal cavity (Right),The widest lateral point of the nasal cavity on the right side.
Ricketts PA,PA,Point,NC-L - Nasal cavity (Left),The widest lateral point of the nasal cavity on the left side.
Ricketts PA,PA,Point,ME - Menton,The most inferior point of the mandibular symphysis.
Grummons Frontal Asymmetry,PA,Point,Cg - Crista galli,"The most superior point of the crista galli, used to construct the mid-sagittal reference (MSR) line."
Grummons Frontal Asymmetry,PA,Point,ANS - Anterior nasal spine,"The tip of the anterior nasal spine, used with Cg to establish the mid-sagittal reference (MSR) line."
Grummons Frontal Asymmetry,PA,Point,Co-R - Condylion (Right),The most superior point on the condylar head of the right mandible.
Grummons Frontal Asymmetry,PA,Point,Co-L - Condylion (Left),The most superior point on the condylar head of the left mandible.
Grummons Frontal Asymmetry,PA,Point,Z-R - Zygomaticofrontal suture (Right),The medial margin of the zygomaticofrontal suture on the right side.
Grummons Frontal Asymmetry,PA,Point,Z-L - Zygomaticofrontal suture (Left),The medial margin of the zygomaticofrontal suture on the left side.
Grummons Frontal Asymmetry,PA,Point,J-R - Jugale (Right),The intersection of the outline of the maxillary tuberosity and the zygomatic buttress on the right side.
Grummons Frontal Asymmetry,PA,Point,J-L - Jugale (Left),The intersection of the outline of the maxillary tuberosity and the zygomatic buttress on the left side.
Grummons Frontal Asymmetry,PA,Point,Ag-R - Antegonion (Right),The highest point of the antegonial notch on the right side.
Grummons Frontal Asymmetry,PA,Point,Ag-L - Antegonion (Left),The highest point of the antegonial notch on the left side.
Grummons Frontal Asymmetry,PA,Point,Me - Menton,The lowest point on the symphyseal shadow of the mandible.
Hewitt,PA,Point,N - Nasion,"The most anterior point of the frontonasal suture, used to assess upper facial symmetry."
Hewitt,PA,Point,ANS - Anterior nasal spine,"The tip of the anterior nasal spine, used as a central point for mid-face symmetry triangulation."
Hewitt,PA,Point,Me - Menton,"The most inferior point on the mandibular symphysis, used for lower facial triangulation."
Hewitt,PA,Point,Cd-R - Condylion (Right),The most superior point of the condylar head on the right side.
Hewitt,PA,Point,Cd-L - Condylion (Left),The most superior point of the condylar head on the left side.
Hewitt,PA,Point,Go-R - Gonion (Right),The most lateral and inferior point of the mandibular angle on the right side.
Hewitt,PA,Point,Go-L - Gonion (Left),The most lateral and inferior point of the mandibular angle on the left side.
Svanholt-Solow,PA,Point,Mx-R - Maxillare (Right),The deepest point on the lateral contour of the right maxilla.
Svanholt-Solow,PA,Point,Mx-L - Maxillare (Left),The deepest point on the lateral contour of the left maxilla.
Svanholt-Solow,PA,Point,Lo-R - Latero-orbitale (Right),The intersection of the lateral orbital contour with the innominate line on the right side.
Svanholt-Solow,PA,Point,Lo-L - Latero-orbitale (Left),The intersection of the lateral orbital contour with the innominate line on the left side.
Svanholt-Solow,PA,Point,Upper dental midline,The midpoint between the central incisors on the maxillary arch.
Svanholt-Solow,PA,Point,Lower dental midline,The midpoint between the central incisors on the mandibular arch.
Grayson Multiplane,PA,Point,N - Nasion,The most anterior point of the frontonasal suture in the midline.
Grayson Multiplane,PA,Point,ANS - Anterior nasal spine,The most anterior point of the anterior nasal spine.
Grayson Multiplane,PA,Point,Pr - Prosthion,The most inferior anterior point on the maxillary alveolar process between the central incisors.
Grayson Multiplane,PA,Point,Id - Infradentale,The highest and most anterior point on the mandibular alveolar process between the central incisors.
Grayson Multiplane,PA,Point,Me - Menton,The lowest point on the mandibular symphysis.
Grayson Multiplane,PA,Point,Zf-R - Zygomaticofrontal suture (Right),The junction of the zygomatic and frontal bones at the lateral orbital rim on the right side.
Grayson Multiplane,PA,Point,Zf-L - Zygomaticofrontal suture (Left),The junction of the zygomatic and frontal bones at the lateral orbital rim on the left side.
